"Date","Price","Open","High","Low","Vol.","Change %"
"03/23/1987","21,588.19","21,588.19","21,588.19","21,588.19","","-0.32%"
"03/20/1987","21,657.60","21,657.60","21,657.60","21,657.60","","0.06%"
"03/19/1987","21,644.30","21,644.30","21,644.30","21,644.30","","-0.28%"
"03/18/1987","21,705.10","21,705.10","21,705.10","21,705.10","","0.89%"
"03/17/1987","21,514.69","21,514.69","21,514.69","21,514.69","","0.46%"
"03/16/1987","21,415.39","21,415.39","21,415.39","21,415.39","","-0.38%"
"03/13/1987","21,497.89","21,497.89","21,497.89","21,497.89","","0.13%"
"03/12/1987","21,470.19","21,470.19","21,470.19","21,470.19","","0.74%"
"03/11/1987","21,313.00","21,313.00","21,313.00","21,313.00","","0.46%"
"03/10/1987","21,214.50","21,214.50","21,214.50","21,214.50","","0.23%"
"03/09/1987","21,166.39","21,166.39","21,166.39","21,166.39","","0.29%"
"03/06/1987","21,105.80","21,105.80","21,105.80","21,105.80","","-0.33%"
"03/05/1987","21,176.02","21,176.02","21,176.02","21,176.02","","0.69%"
"03/04/1987","21,031.69","21,031.69","21,031.69","21,031.69","","0.29%"
"03/03/1987","20,971.39","20,971.39","20,971.39","20,971.39","","0.18%"
"03/02/1987","20,933.80","20,933.80","20,933.80","20,933.80","","2.51%"
"02/27/1987","20,421.64","20,421.64","20,421.64","20,421.64","","-0.16%"
"02/26/1987","20,453.89","20,453.89","20,453.89","20,453.89","","1.33%"
"02/25/1987","20,186.30","20,186.30","20,186.30","20,186.30","","0.55%"
"02/24/1987","20,076.50","20,076.50","20,076.50","20,076.50","","0.68%"
"02/23/1987","19,940.50","19,940.50","19,940.50","19,940.50","","-0.70%"
"02/20/1987","20,080.39","20,080.39","20,080.39","20,080.39","","-0.73%"
"02/19/1987","20,228.10","20,228.10","20,228.10","20,228.10","","1.74%"
"02/18/1987","19,881.80","19,881.80","19,881.80","19,881.80","","1.24%"
"02/17/1987","19,637.89","19,637.89","19,637.89","19,637.89","","0.54%"
"02/16/1987","19,531.52","19,531.52","19,531.52","19,531.52","","-0.50%"
"02/13/1987","19,628.86","19,628.86","19,628.86","19,628.86","","-1.24%"
"02/12/1987","19,874.89","19,874.89","19,874.89","19,874.89","","0.31%"
"02/10/1987","19,814.00","19,814.00","19,814.00","19,814.00","","0.68%"
"02/09/1987","19,679.31","19,679.31","19,679.31","19,679.31","","0.05%"
"02/06/1987","19,668.81","19,668.81","19,668.81","19,668.81","","-0.64%"
"02/05/1987","19,795.10","19,795.10","19,795.10","19,795.10","","-0.90%"
"02/04/1987","19,973.89","19,973.89","19,973.89","19,973.89","","0.09%"
"02/03/1987","19,956.30","19,956.30","19,956.30","19,956.30","","-0.58%"
"02/02/1987","20,072.10","20,072.10","20,072.10","20,072.10","","0.12%"
"01/30/1987","20,048.30","20,048.30","20,048.30","20,048.30","","0.64%"
"01/29/1987","19,921.00","19,921.00","19,921.00","19,921.00","","0.66%"
"01/28/1987","19,789.89","19,789.89","19,789.89","19,789.89","","0.52%"
"01/27/1987","19,686.80","19,686.80","19,686.80","19,686.80","","0.68%"
"01/26/1987","19,554.69","19,554.69","19,554.69","19,554.69","","0.50%"
"01/23/1987","19,456.60","19,456.60","19,456.60","19,456.60","","0.39%"
"01/22/1987","19,380.50","19,380.50","19,380.50","19,380.50","","-0.25%"
"01/21/1987","19,429.19","19,429.19","19,429.19","19,429.19","","1.11%"
"01/20/1987","19,216.10","19,216.10","19,216.10","19,216.10","","0.14%"
"01/19/1987","19,188.70","19,188.70","19,188.70","19,188.70","","0.20%"
"01/16/1987","19,149.63","19,149.63","19,149.63","19,149.63","","1.95%"
"01/14/1987","18,784.27","18,784.27","18,784.27","18,784.27","","1.30%"
"01/13/1987","18,544.00","18,544.00","18,544.00","18,544.00","","-0.67%"
"01/12/1987","18,669.00","18,669.00","18,669.00","18,669.00","","-0.75%"
"01/09/1987","18,810.30","18,810.30","18,810.30","18,810.30","","0.17%"
"01/08/1987","18,778.69","18,778.69","18,778.69","18,778.69","","-0.34%"
"01/07/1987","18,842.39","18,842.39","18,842.39","18,842.39","","-0.50%"
"01/06/1987","18,936.80","18,936.80","18,936.80","18,936.80","","0.62%"
"01/05/1987","18,820.50","18,820.50","18,820.50","18,820.50","","0.00%"
"12/31/1986","18,820.64","18,820.64","18,820.64","18,820.64","","0.00%"
"12/30/1986","18,820.64","18,820.64","18,820.64","18,820.64","","0.00%"
"12/29/1986","18,820.64","18,820.64","18,820.64","18,820.64","","0.00%"
