"Date","Price","Open","High","Low","Vol.","Change %"
"03/19/2003","2,615.22","2,576.96","2,675.02","2,524.52","","1.18%"
"03/18/2003","2,584.61","2,490.78","2,624.98","2,490.78","","3.92%"
"03/17/2003","2,487.12","2,398.11","2,520.54","2,327.87","","3.49%"
"03/14/2003","2,403.19","2,356.36","2,482.14","2,356.36","","2.08%"
"03/13/2003","2,354.31","2,203.97","2,354.31","2,203.97","","6.87%"
"03/12/2003","2,202.96","2,300.11","2,319.65","2,188.75","","-4.44%"
"03/11/2003","2,305.30","2,324.01","2,348.08","2,258.57","","-1.02%"
"03/10/2003","2,329.04","2,437.32","2,447.98","2,328.81","","-4.22%"
"03/07/2003","2,431.66","2,433.72","2,467.57","2,393.59","","-0.24%"
"03/06/2003","2,437.51","2,500.64","2,531.63","2,433.32","","-2.42%"
"03/05/2003","2,498.02","2,495.46","2,540.06","2,456.40","","-0.12%"
"03/04/2003","2,501.03","2,541.81","2,541.81","2,477.06","","-1.91%"
"03/03/2003","2,549.65","2,553.74","2,600.76","2,535.30","","0.10%"
"02/28/2003","2,547.05","2,508.89","2,581.48","2,480.72","","1.35%"
"02/27/2003","2,513.22","2,453.34","2,513.41","2,435.64","","2.57%"
"02/26/2003","2,450.20","2,488.92","2,518.85","2,433.15","","-1.42%"
"02/25/2003","2,485.50","2,563.37","2,563.37","2,448.98","","-3.34%"
"02/24/2003","2,571.35","2,648.49","2,648.55","2,571.35","","-2.93%"
"02/21/2003","2,648.87","2,591.68","2,648.87","2,565.14","","2.22%"
"02/20/2003","2,591.26","2,631.48","2,669.49","2,575.95","","-1.27%"
"02/19/2003","2,624.65","2,734.81","2,734.81","2,616.91","","-4.21%"
"02/18/2003","2,740.14","2,707.57","2,750.08","2,673.91","","1.15%"
"02/17/2003","2,708.97","2,683.48","2,722.30","2,679.95","","1.29%"
"02/14/2003","2,674.46","2,558.25","2,711.59","2,558.25","","4.66%"
"02/13/2003","2,555.27","2,566.95","2,599.44","2,535.04","","-0.62%"
"02/12/2003","2,571.25","2,621.45","2,621.45","2,565.02","","-2.12%"
"02/11/2003","2,627.00","2,593.15","2,664.16","2,584.68","","1.58%"
"02/10/2003","2,586.09","2,573.26","2,593.00","2,528.90","","0.65%"
"02/07/2003","2,569.34","2,649.02","2,671.70","2,561.73","","-3.01%"
"02/06/2003","2,649.00","2,714.12","2,720.18","2,617.66","","-2.82%"
"02/05/2003","2,725.88","2,626.85","2,738.11","2,584.88","","3.53%"
"02/04/2003","2,632.98","2,750.04","2,750.04","2,618.14","","-4.32%"
"02/03/2003","2,751.99","2,750.40","2,802.93","2,735.58","","0.15%"
"01/31/2003","2,747.83","2,687.72","2,753.26","2,622.41","","2.01%"
"01/30/2003","2,693.78","2,711.84","2,742.92","2,665.52","","-0.47%"
"01/29/2003","2,706.57","2,667.69","2,743.10","2,563.92","","1.32%"
"01/28/2003","2,671.36","2,649.96","2,705.22","2,616.04","","1.04%"
"01/27/2003","2,643.80","2,716.42","2,728.28","2,615.67","","-2.72%"
"01/24/2003","2,717.82","2,813.13","2,827.43","2,714.89","","-3.32%"
"01/23/2003","2,811.22","2,804.13","2,862.59","2,776.72","","0.28%"
"01/22/2003","2,803.25","2,866.35","2,897.48","2,765.56","","-2.35%"
"01/21/2003","2,870.57","2,900.88","2,955.75","2,860.34","","-0.79%"
"01/20/2003","2,893.55","2,927.58","2,966.78","2,892.93","","-0.87%"
"01/17/2003","2,918.82","3,047.11","3,047.11","2,918.26","","-4.43%"
"01/16/2003","3,054.11","3,047.24","3,080.27","3,023.32","","0.15%"
"01/15/2003","3,049.40","3,107.61","3,145.66","3,036.94","","-1.59%"
"01/14/2003","3,098.72","3,063.49","3,141.33","3,055.29","","1.24%"
"01/13/2003","3,060.65","3,039.91","3,127.12","3,039.91","","0.77%"
"01/10/2003","3,037.33","3,037.80","3,093.78","2,986.75","","-0.01%"
"01/09/2003","3,037.68","3,000.24","3,043.64","2,932.93","","1.49%"
"01/08/2003","2,993.00","3,108.02","3,108.02","2,993.00","","-3.85%"
"01/07/2003","3,112.77","3,156.56","3,156.56","3,069.11","","-1.41%"
"01/06/2003","3,157.25","3,101.17","3,157.25","3,033.77","","2.08%"
"01/03/2003","3,092.94","3,098.89","3,124.86","3,070.03","","-0.39%"
"01/02/2003","3,105.04","2,898.68","3,105.04","2,898.68","","7.34%"
